Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src,SEO Title,SEO Description,Status
gir-a2-bilona-ghee-500g,Gir A2 Bilona Ghee,"<p>Premium Gir A2 Bilona Ghee made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Ghee,Ghee,"Ghee,Organic,Farm Fresh",TRUE,Size,500g,KB011,199,100,deny,manual,https://example.com/images/gir-a2-bilona-ghee-500g.jpg,Buy Gir A2 Bilona Ghee Online | Kishan Bazar,Shop premium Gir A2 Bilona Ghee online from Kishan Bazar.,active
gir-a2-bilona-ghee-1kg,Gir A2 Bilona Ghee,"<p>Premium Gir A2 Bilona Ghee made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Ghee,Ghee,"Ghee,Organic,Farm Fresh",TRUE,Size,1kg,KB012,349,100,deny,manual,https://example.com/images/gir-a2-bilona-ghee-1kg.jpg,Buy Gir A2 Bilona Ghee Online | Kishan Bazar,Shop premium Gir A2 Bilona Ghee online from Kishan Bazar.,active
gir-a2-bilona-ghee-2kg,Gir A2 Bilona Ghee,"<p>Premium Gir A2 Bilona Ghee made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Ghee,Ghee,"Ghee,Organic,Farm Fresh",TRUE,Size,2kg,KB013,649,100,deny,manual,https://example.com/images/gir-a2-bilona-ghee-2kg.jpg,Buy Gir A2 Bilona Ghee Online | Kishan Bazar,Shop premium Gir A2 Bilona Ghee online from Kishan Bazar.,active
gir-a2-bilona-ghee-5kg,Gir A2 Bilona Ghee,"<p>Premium Gir A2 Bilona Ghee made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Ghee,Ghee,"Ghee,Organic,Farm Fresh",TRUE,Size,5kg,KB014,1499,100,deny,manual,https://example.com/images/gir-a2-bilona-ghee-5kg.jpg,Buy Gir A2 Bilona Ghee Online | Kishan Bazar,Shop premium Gir A2 Bilona Ghee online from Kishan Bazar.,active
gir-a2-bilona-ghee-10kg,Gir A2 Bilona Ghee,"<p>Premium Gir A2 Bilona Ghee made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Ghee,Ghee,"Ghee,Organic,Farm Fresh",TRUE,Size,10kg,KB015,2799,100,deny,manual,https://example.com/images/gir-a2-bilona-ghee-10kg.jpg,Buy Gir A2 Bilona Ghee Online | Kishan Bazar,Shop premium Gir A2 Bilona Ghee online from Kishan Bazar.,active
groundnut-oil-500g,Groundnut Oil,"<p>Premium Groundnut Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,500g,KB016,199,100,deny,manual,https://example.com/images/groundnut-oil-500g.jpg,Buy Groundnut Oil Online | Kishan Bazar,Shop premium Groundnut Oil online from Kishan Bazar.,active
groundnut-oil-1kg,Groundnut Oil,"<p>Premium Groundnut Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,1kg,KB017,349,100,deny,manual,https://example.com/images/groundnut-oil-1kg.jpg,Buy Groundnut Oil Online | Kishan Bazar,Shop premium Groundnut Oil online from Kishan Bazar.,active
groundnut-oil-2kg,Groundnut Oil,"<p>Premium Groundnut Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,2kg,KB018,649,100,deny,manual,https://example.com/images/groundnut-oil-2kg.jpg,Buy Groundnut Oil Online | Kishan Bazar,Shop premium Groundnut Oil online from Kishan Bazar.,active
groundnut-oil-5kg,Groundnut Oil,"<p>Premium Groundnut Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,5kg,KB019,1499,100,deny,manual,https://example.com/images/groundnut-oil-5kg.jpg,Buy Groundnut Oil Online | Kishan Bazar,Shop premium Groundnut Oil online from Kishan Bazar.,active
groundnut-oil-10kg,Groundnut Oil,"<p>Premium Groundnut Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,10kg,KB020,2799,100,deny,manual,https://example.com/images/groundnut-oil-10kg.jpg,Buy Groundnut Oil Online | Kishan Bazar,Shop premium Groundnut Oil online from Kishan Bazar.,active
black-mustard-oil-500g,Black Mustard Oil,"<p>Premium Black Mustard Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,500g,KB021,199,100,deny,manual,https://example.com/images/black-mustard-oil-500g.jpg,Buy Black Mustard Oil Online | Kishan Bazar,Shop premium Black Mustard Oil online from Kishan Bazar.,active
black-mustard-oil-1kg,Black Mustard Oil,"<p>Premium Black Mustard Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,1kg,KB022,349,100,deny,manual,https://example.com/images/black-mustard-oil-1kg.jpg,Buy Black Mustard Oil Online | Kishan Bazar,Shop premium Black Mustard Oil online from Kishan Bazar.,active
black-mustard-oil-2kg,Black Mustard Oil,"<p>Premium Black Mustard Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,2kg,KB023,649,100,deny,manual,https://example.com/images/black-mustard-oil-2kg.jpg,Buy Black Mustard Oil Online | Kishan Bazar,Shop premium Black Mustard Oil online from Kishan Bazar.,active
black-mustard-oil-5kg,Black Mustard Oil,"<p>Premium Black Mustard Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,5kg,KB024,1499,100,deny,manual,https://example.com/images/black-mustard-oil-5kg.jpg,Buy Black Mustard Oil Online | Kishan Bazar,Shop premium Black Mustard Oil online from Kishan Bazar.,active
black-mustard-oil-10kg,Black Mustard Oil,"<p>Premium Black Mustard Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,10kg,KB025,2799,100,deny,manual,https://example.com/images/black-mustard-oil-10kg.jpg,Buy Black Mustard Oil Online | Kishan Bazar,Shop premium Black Mustard Oil online from Kishan Bazar.,active
sunflower-oil-500g,Sunflower Oil,"<p>Premium Sunflower Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,500g,KB026,199,100,deny,manual,https://example.com/images/sunflower-oil-500g.jpg,Buy Sunflower Oil Online | Kishan Bazar,Shop premium Sunflower Oil online from Kishan Bazar.,active
sunflower-oil-1kg,Sunflower Oil,"<p>Premium Sunflower Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,1kg,KB027,349,100,deny,manual,https://example.com/images/sunflower-oil-1kg.jpg,Buy Sunflower Oil Online | Kishan Bazar,Shop premium Sunflower Oil online from Kishan Bazar.,active
sunflower-oil-2kg,Sunflower Oil,"<p>Premium Sunflower Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,2kg,KB028,649,100,deny,manual,https://example.com/images/sunflower-oil-2kg.jpg,Buy Sunflower Oil Online | Kishan Bazar,Shop premium Sunflower Oil online from Kishan Bazar.,active
sunflower-oil-5kg,Sunflower Oil,"<p>Premium Sunflower Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,5kg,KB029,1499,100,deny,manual,https://example.com/images/sunflower-oil-5kg.jpg,Buy Sunflower Oil Online | Kishan Bazar,Shop premium Sunflower Oil online from Kishan Bazar.,active
sunflower-oil-10kg,Sunflower Oil,"<p>Premium Sunflower Oil made with natural ingredients. Fresh, healthy and ideal for daily use.</p>",Kishan Bazar,Oil,Oil,"Oil,Organic,Farm Fresh",TRUE,Size,10kg,KB030,2799,100,deny,manual,https://example.com/images/sunflower-oil-10kg.jpg,Buy Sunflower Oil Online | Kishan Bazar,Shop premium Sunflower Oil online from Kishan Bazar.,active
